2293740.000002,828864.000002
礼,"[3560.00000001, 208.00000001]"
他,"[154.00000001, 12958.00000001]"
节,"[6378.00000001, 318.00000001]"
会员,"[4130.00000001, 1024.00000001]"
内衣,"[1468.00000001, 211.00000001]"
把,"[460.00000001, 11793.00000001]"
快乐,"[5558.00000001, 804.00000001]"
特价,"[2863.00000001, 370.00000001]"
抢购,"[2112.00000001, 1e-08]"
即可,"[2446.00000001, 1e-08]"
百度,"[122.00000001000001, 11956.00000001]"
1,"[1e-08, 9599.00000001]"
抵押,"[2431.00000001, 212.00000001]"
折,"[13109.00000001, 664.00000001]"
5,"[1e-08, 7577.00000001]"
抵,"[1588.00000001, 142.00000001]"
和,"[5961.00000001, 47538.00000001]"
您,"[19219.00000001, 2206.00000001]"
不是,"[190.00000001, 9296.00000001]"
有限,"[4769.00000001, 4603.00000001]"
10,"[1e-08, 7914.00000001]"
赠,"[1993.00000001, 94.00000001000001]"
没有,"[529.00000001, 14334.00000001]"
联系,"[7770.00000001, 2154.00000001]"
顾客,"[5195.00000001, 374.00000001]"
进,"[2885.00000001, 1731.00000001]"
买一送一,"[1075.00000001, 18.00000001]"
需要,"[4059.00000001, 4242.00000001]"
江苏,"[64.00000001000001, 11733.00000001]"
欢迎您,"[2972.00000001, 58.00000001]"
飞机,"[35.00000001, 19951.00000001]"
折起,"[1328.00000001, 16.00000001]"
八节,"[2514.00000001, 2.00000001]"
老客户,"[2011.00000001, 34.00000001]"
精美,"[1665.00000001, 185.00000001]"
知道,"[140.00000001, 9884.00000001]"
就,"[3654.00000001, 35738.00000001]"
惠,"[3132.00000001, 497.00000001]"
美丽,"[2524.00000001, 804.00000001]"
各位,"[2517.00000001, 637.00000001]"
一个,"[2131.00000001, 25255.00000001]"
春季,"[1982.00000001, 100.00000001000001]"
选购,"[2570.00000001, 80.00000001000001]"
装饰,"[2349.00000001, 712.00000001]"
购买,"[2899.00000001, 1246.00000001]"
看,"[1188.00000001, 17484.00000001]"
